2022-06-23 15:35:51 [INFO]-[M_design_mode.M1_Protected_Pause_Mode] 我是生产者，我现在需要告诉消费者，我的运行结果
2022-06-23 20:53:29	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[producer]			我是生产者，我现在已经把结果交给了同步变量
2022-06-23 20:53:29	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[consumer]			我是消费者，我现在已经知道结果了，再见
2022-06-23 20:55:26	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[consumer]			我是消费者，我现在需要等待生产者的结果
2022-06-23 20:55:26	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[producer]			我是生产者，我现在需要告诉消费者，我的运行结果
2022-06-23 20:55:34	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[producer]			我是生产者，我现在虚假唤醒一波!
2022-06-23 20:55:44	[INFO]	-	[M_design_mode.M1_Protected_Pause_Mode_optimize]	-	[consumer]			我是消费者，我等不及了，再见!!!
2022-06-24 15:18:33	[INFO]	-	[utils.Test]	-	[Thread-0]			ok，我现在开始睡眠!
2022-06-24 15:18:34	[INFO]	-	[utils.Test]	-	[Thread-1]			我已经调用notify了嗷
2022-06-24 16:40:54	[INFO]	-	[utils.Test]	-	[Thread-0]			ok，我现在开始睡眠!
2022-06-24 16:40:55	[INFO]	-	[utils.Test]	-	[Thread-1]			我已经调用notify了嗷
2022-06-24 16:41:18	[INFO]	-	[utils.Test]	-	[Thread-0]			ok，我现在开始睡眠!
2022-06-24 16:41:19	[INFO]	-	[utils.Test]	-	[Thread-1]			我已经调用notify了嗷
2022-06-24 16:41:31	[INFO]	-	[utils.Test]	-	[Thread-0]			我被唤醒啦
2022-06-24 16:51:49	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费的结果是: M_design_mode.M2_Producer_Consumer_Mode$Message@42f73111
2022-06-24 16:51:49	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费的结果是: M_design_mode.M2_Producer_Consumer_Mode$Message@44c091ed
2022-06-24 16:52:30	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=e8309e38-ca55-42e8-b2f5-fff0f2b71cad, content=hello 64e70d11-9486-4bba-9e76-438516e8eb69)
2022-06-24 16:52:30	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=081d4663-c62b-4ce3-8489-09175babf962, content=hello 0c7edf8b-2617-496f-aa43-27ed4781aeb3)
2022-06-24 16:57:02	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=319c7895-be62-4a2d-ba2a-968eaae72d3d, content=hello 2)
2022-06-24 16:57:02	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=271fc281-d517-4e3b-abd8-1f68483c7c98, content=hello 0)
2022-06-24 17:14:29	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			队列为空，消费者等待
2022-06-24 17:14:29	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			队列为空，消费者等待
2022-06-24 17:14:29	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=3dd271ea-26d8-49f3-985d-e5a67f7fdf7e, content=hello 2)
2022-06-24 17:14:29	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=790a4ad3-bd37-40e5-9591-da91fa88c34d, content=hello 3)
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			队列为空，消费者等待
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			队列为空，消费者等待
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[provider-1]			队列满了，生产者等待
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=38cf9a96-5726-49ef-868f-df5a0cca1daf, content=hello 4)
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[provider-2]			队列满了，生产者等待
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费的结果是: M2_Producer_Consumer_Mode.Message(id=adac8d2b-4ed0-47ba-8190-eef41553a1f4, content=hello 5)
2022-06-24 17:16:28	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[provider-0]			队列满了，生产者等待
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			队列为空，消费者等待
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			队列为空，消费者等待
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-0]			消费者来消费了!消费的结果是: 336bead0-6734-4022-a4b9-f54cd96958f1
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[provider-4]			队列满了，生产者等待
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[consumer-1]			消费者来消费了!消费的结果是: 4f05e995-ead7-45b9-ab85-c0b2ba42ab49
2022-06-24 17:17:01	[INFO]	-	[M_design_mode.M2_Producer_Consumer_Mode]	-	[provider-1]			队列满了，生产者等待
